"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge"
166 3 2 1 1 9 8 1 1 1 1 54
167 2 2 1 1 61 1 1 1 1 1 59
168 2 2 1 1 61 1 1 1 1 1 62
169 2 2 1 1 70 1 1 1 1 1 75
170 2 1 1 1 45 1 1 2 1 1 40
170 3 2 1 1 14 2 1 2 1 1 40
170 4 1 1 1 11 2 1 2 1 1 40
171 2 2 1 1 45 1 2 1 1 1 54
172 2 1 1 1 43 1 1 2 1 1 42
172 3 2 1 1 20 2 1 2 1 1 42
172 4 2 1 1 78 5 1 2 1 1 42
173 2 2 1 1 60 1 1 1 1 1 66
174 2 2 1 1 49 1 1 1 1 1 50
174 3 1 1 1 84 5 1 1 1 1 50
174 4 2 1 1 77 5 1 1 1 1 50
175 2 2 7 2 29 1 2 1 7 2 31
175 3 1 7 2 6 2 2 1 7 2 31
175 4 2 7 2 1 2 2 1 7 2 31
176 2 2 1 1 69 10 1 1 1 1 70
177 2 2 1 2 37 1 2 1 1 2 46
177 3 1 1 2 12 2 2 1 1 2 46
177 4 2 1 2 2 2 2 1 1 2 46
178 2 2 1 1 59 1 1 1 1 1 61
179 2 2 1 1 50 1 1 1 1 1 56
180 2 2 6 1 63 1 1 1 6 1 63
181 2 2 8 1 37 1 2 1 1 1 34
181 3 2 8 1 15 2 2 1 1 1 34
181 4 1 8 1 9 2 2 1 1 1 34
182 2 1 1 1 59 1 1 2 1 1 59
182 3 2 1 1 19 2 1 2 1 1 59
183 2 2 1 1 58 1 1 1 1 1 64
184 2 2 8 2 41 1 2 1 1 2 46
185 2 1 1 1 76 1 1 2 1 1 72
186 2 2 1 1 66 1 1 1 1 1 69
187 2 1 1 1 75 1 1 2 1 1 71
188 2 1 1 1 30 1 1 2 1 1 30
188 3 2 1 1 6 2 1 2 1 1 30
188 4 1 1 1 3 2 1 2 1 1 30
189 2 1 1 1 32 1 1 2 1 1 30
189 3 2 1 1 2 2 1 2 1 1 30
190 2 2 1 4 40 1 1 1 1 4 41
190 3 1 1 4 41 6 1 1 1 4 41
191 2 2 1 1 41 1 1 1 1 1 51
192 2 2 1 1 42 1 1 1 1 1 45
192 3 1 1 1 5 2 1 1 1 1 45
193 2 1 1 1 29 1 1 2 1 1 28
194 2 2 1 1 63 1 1 1 1 1 81
195 2 2 1 1 48 1 1 1 1 1 48
195 3 1 1 1 28 2 1 1 1 1 48
196 2 1 1 1 65 1 1 2 1 1 62
197 2 1 1 1 36 10 1 2 1 1 37
198 2 1 1 1 26 2 1 2 1 1 55
198 3 2 1 1 14 2 1 2 1 1 55
199 2 2 1 1 57 1 1 1 1 1 59
200 2 1 1 1 42 2 1 1 1 1 64
201 2 2 1 1 37 1 1 1 1 1 36
201 3 2 1 1 2 2 1 1 1 1 36
202 2 2 1 1 18 8 1 2 1 1 77
203 2 2 1 1 58 1 1 1 1 1 63
204 2 2 1 1 51 1 1 1 1 1 59
205 2 1 7 2 58 10 1 1 1 2 62
206 2 2 1 1 64 1 1 1 1 1 66
207 2 2 1 1 74 1 1 1 1 1 75
208 2 2 1 1 34 1 1 1 1 2 43
209 2 1 4 1 62 1 2 2 1 1 64
209 3 1 6 1 25 2 2 2 1 1 64
209 4 2 6 1 23 2 2 2 1 1 64
210 2 2 1 1 55 1 1 1 1 1 54
211 2 2 1 1 50 1 1 1 1 1 53
211 3 2 1 1 17 2 1 1 1 1 53
212 2 1 1 1 48 1 2 2 1 1 45
212 3 2 1 1 18 2 2 2 1 1 45
212 4 1 1 1 12 2 2 2 1 1 45
213 2 1 1 1 47 1 2 2 1 1 48
214 2 1 1 1 84 1 1 2 1 1 73
215 2 2 1 1 65 1 1 1 1 1 66
216 2 2 1 1 54 1 1 1 1 1 49
217 2 1 1 1 59 1 1 2 1 1 61
217 3 1 1 1 24 2 1 2 1 1 61
218 2 1 1 1 72 1 1 2 1 1 71
219 2 2 1 1 42 1 2 1 1 1 49
219 3 1 1 1 7 2 2 1 1 1 49
220 2 2 2 1 22 2 1 2 2 1 47
220 3 2 2 1 16 2 1 2 2 1 47
220 4 2 2 1 11 10 1 2 2 1 47
221 2 1 1 1 55 1 1 2 1 1 57
222 2 2 1 1 46 1 1 1 1 1 46
223 2 1 1 1 40 10 2 2 1 1 41
224 2 1 1 2 22 2 2 2 1 2 41
224 3 1 1 2 16 2 2 2 1 2 41
225 2 1 1 1 62 10 1 2 1 1 45
226 2 1 1 1 32 2 1 1 1 1 68
227 2 2 1 1 46 1 2 1 1 1 66
228 2 2 1 1 47 1 1 1 1 1 53
228 3 1 1 1 22 2 1 1 1 1 53
228 4 1 1 1 15 2 1 1 1 1 53
229 2 1 1 1 53 10 2 2 1 1 55
230 2 2 7 2 58 1 1 1 7 2 60
230 3 1 7 2 17 8 1 1 7 2 60
231 2 1 2 1 34 2 1 2 2 1 58
232 2 1 1 1 35 2 1 2 1 1 56
232 3 1 1 1 60 9 1 2 1 1 56
233 2 2 1 1 59 1 1 1 1 1 55
234 2 2 1 1 10 2 2 1 1 1 39
235 2 2 5 1 63 1 1 1 1 1 64
236 2 2 1 1 49 1 1 1 1 1 52
236 3 1 1 1 19 2 1 1 1 1 52
237 2 1 1 1 46 1 1 2 1 1 45
237 3 1 1 1 10 2 1 2 1 1 45
238 2 2 1 2 58 1 1 1 1 2 59
