"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
179 2 2 1 1 73 2 1 1 1 1 79 1
180 2 2 1 1 69 2 1 1 1 1 72 1
181 2 1 1 1 60 11 1 2 1 1 65 1
182 2 1 2 1 78 2 1 2 2 1 80 1
182 3 2 2 1 27 9 1 2 2 1 80 1
183 2 2 1 1 47 2 1 1 1 1 41 1
183 3 1 1 1 17 3 1 1 1 1 41 1
184 2 2 1 1 43 2 1 1 1 1 46 1
185 2 2 1 1 54 2 1 1 1 1 62 1
185 3 1 1 1 15 3 1 1 1 1 62 1
186 2 1 1 1 52 2 1 2 1 1 48 1
186 3 1 1 1 16 3 1 2 1 1 48 1
187 2 1 1 1 68 2 1 2 1 1 64 1
188 2 1 1 1 29 2 2 2 7 5 27 1
189 2 2 1 1 58 2 1 1 1 5 61 1
189 3 2 1 5 26 3 1 1 1 5 61 1
190 2 2 8 1 19 3 1 2 1 1 39 1
191 2 2 1 1 23 11 2 1 1 1 22 1
192 2 1 1 1 23 3 1 2 1 1 48 1
192 3 2 1 1 19 3 1 2 1 1 48 1
193 2 2 8 1 16 3 2 2 1 1 37 1
193 3 1 1 1 78 10 2 2 1 1 37 1
194 2 1 1 1 93 2 1 2 1 1 93 1
195 2 1 1 1 38 2 1 2 1 1 36 1
195 3 2 1 1 2 3 1 2 1 1 36 1
196 2 2 1 1 49 2 2 1 1 1 50 1
196 3 1 1 1 18 3 2 1 1 1 50 1
197 2 2 1 1 61 2 1 1 1 1 63 1
198 2 2 1 1 82 5 1 1 1 1 50 1
199 2 2 1 1 49 2 1 1 1 1 47 1
199 3 1 1 1 19 3 1 1 1 1 47 1
200 2 1 2 1 9 3 2 1 2 1 73 1
201 2 2 1 1 53 2 1 1 1 1 59 1
202 2 2 1 1 76 2 1 1 1 1 86 1
203 2 2 2 1 2 3 2 2 2 1 20 1
203 3 1 2 1 20 11 2 2 2 1 20 1
204 2 2 2 1 42 2 2 1 2 1 49 1
204 3 2 2 1 3 3 2 1 2 1 49 1
205 2 2 1 1 30 2 2 1 1 1 33 1
206 2 1 1 1 40 2 1 2 1 1 36 1
206 3 1 1 1 6 3 1 2 1 1 36 1
207 2 2 1 1 53 11 1 1 1 1 53 1
208 2 2 1 1 54 2 1 1 1 1 53 1
208 3 1 1 1 18 3 1 1 1 1 53 1
209 2 2 1 1 84 2 1 1 1 1 83 1
210 2 2 1 1 52 2 1 1 1 1 55 1
210 3 2 1 1 95 6 1 1 1 1 55 1
211 2 1 1 2 54 2 1 2 1 2 52 1
211 3 1 1 1 11 3 1 2 1 2 52 1
212 2 1 1 1 51 11 1 2 1 1 48 1
213 2 2 1 1 62 2 1 1 1 1 60 1
214 2 1 1 1 71 2 1 2 1 1 69 1
215 2 1 8 1 3 3 2 2 1 1 31 1
215 3 1 8 1 2 3 2 2 1 1 31 1
216 2 2 1 1 65 2 1 1 1 1 65 1
217 2 2 1 1 33 2 1 1 1 1 29 1
217 3 2 1 1 5 3 1 1 1 1 29 1
218 2 1 8 1 43 11 2 2 8 1 31 1
219 2 2 1 1 58 2 1 1 1 1 60 1
219 3 1 1 1 24 3 1 1 1 1 60 1
220 2 2 1 1 68 2 1 1 1 1 69 1
221 2 2 1 1 44 2 1 1 1 1 47 1
221 3 2 1 1 12 3 1 1 1 1 47 1
222 2 2 2 1 68 11 2 1 1 1 66 1
223 2 2 1 1 54 2 1 1 1 1 57 1
223 3 2 1 1 21 3 1 1 1 1 57 1
224 2 1 1 5 47 2 1 2 1 2 45 1
224 3 2 1 2 4 3 1 2 1 2 45 1
225 2 2 2 1 48 2 1 1 2 1 52 1
225 3 1 2 1 26 3 1 1 2 1 52 1
226 2 2 6 1 34 2 2 1 6 1 60 1
226 3 1 6 1 5 3 2 1 6 1 60 1
227 2 2 1 5 27 11 1 1 1 1 37 1
228 2 2 1 1 56 2 1 1 1 1 66 1
229 2 2 2 1 1 3 2 1 2 1 25 1
229 3 2 2 1 22 11 2 1 2 1 25 1
230 2 2 1 1 49 2 1 1 1 1 52 1
230 3 2 1 1 69 6 1 1 1 1 52 1
231 2 1 1 1 85 2 1 2 1 1 72 1
232 2 1 1 1 74 2 1 2 8 1 70 1
233 2 2 1 1 56 2 1 1 1 1 53 1
234 2 2 8 1 8 3 2 2 1 1 26 1
234 3 1 8 1 3 3 2 2 1 1 26 1
235 2 1 1 1 61 11 1 2 1 1 76 1
236 2 1 7 2 34 3 2 2 7 2 65 1
236 3 2 7 2 24 3 2 2 7 2 65 1
237 2 2 1 1 69 2 1 1 1 1 69 1
237 3 1 1 1 39 3 1 1 1 1 69 1
238 2 1 1 1 39 2 1 2 1 3 34 1
