"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
216 3 1 1 1 16 3 1 2 1 1 53 1
217 2 1 1 1 67 2 1 2 1 1 66 1
218 2 2 6 1 42 2 1 1 1 1 36 1
218 3 2 8 1 7 3 1 1 1 1 36 1
218 4 2 8 1 1 3 1 1 1 1 36 1
219 2 2 1 2 63 2 1 1 8 3 76 1
219 3 1 1 3 37 3 1 1 8 3 76 1
220 2 1 2 1 59 2 2 2 2 1 59 1
221 2 2 1 1 25 3 2 2 1 1 56 1
221 3 1 1 1 23 3 2 2 1 1 56 1
221 4 2 1 1 18 3 2 2 1 1 56 1
222 2 2 1 1 82 2 1 1 1 1 82 1
223 2 2 1 1 59 2 1 1 1 1 64 1
224 2 1 1 1 65 2 1 2 1 1 65 1
224 3 2 1 1 95 6 1 2 1 1 65 1
225 2 2 5 1 94 2 1 1 1 1 83 1
226 2 1 1 1 52 11 1 1 1 3 46 1
227 2 2 1 1 35 2 1 1 1 1 35 1
227 3 1 1 1 7 3 1 1 1 1 35 1
227 4 2 1 1 4 3 1 1 1 1 35 1
228 2 2 1 1 41 2 1 1 1 1 50 1
228 3 1 1 1 10 3 1 1 1 1 50 1
229 2 1 1 1 41 11 1 2 8 1 43 1
230 2 2 1 1 55 2 1 1 1 1 55 1
230 3 2 1 1 21 3 1 1 1 1 55 1
231 2 2 1 1 33 2 1 1 1 1 34 1
231 3 2 1 1 3 3 1 1 1 1 34 1
232 2 1 5 1 68 2 1 2 1 1 68 1
233 2 2 1 1 26 11 1 1 1 1 26 1
234 2 2 1 1 41 2 1 1 1 1 41 1
234 3 2 1 1 21 3 1 1 1 1 41 1
234 4 1 1 1 13 3 1 1 1 1 41 1
235 2 1 1 1 62 2 1 2 1 1 49 1
236 2 2 6 1 63 2 1 1 6 1 65 1
237 2 1 1 1 83 2 1 2 1 1 72 1
238 2 2 1 1 68 2 1 1 1 1 78 1
239 2 2 4 1 55 2 1 1 4 1 62 1
240 2 2 1 1 63 2 1 1 1 1 64 1
241 2 1 1 1 39 2 1 2 1 1 35 1
241 3 2 1 1 10 3 1 2 1 1 35 1
242 2 2 1 1 50 2 1 1 1 1 54 1
242 3 2 1 1 13 3 1 1 1 1 54 1
243 2 2 1 1 68 2 1 1 1 1 79 1
244 2 2 1 1 47 2 1 1 1 1 47 1
