"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
125 2 1 1 1 55 2 1
126 1 1 1 1 66 1 1
126 2 2 1 1 65 2 1
127 1 1 1 1 68 1 1
127 2 2 1 1 66 2 1
128 1 1 8 1 35 1 2
128 2 2 5 1 35 2 2
128 3 2 8 1 1 3 2
129 1 2 2 1 90 1 2
129 2 2 2 1 67 3 2
130 1 1 2 1 50 1 1
130 2 2 2 1 42 2 1
130 3 1 2 1 15 3 1
130 4 1 2 1 12 3 1
130 5 1 2 1 12 3 1
131 1 2 1 1 39 1 1
131 2 1 1 1 12 3 1
131 3 2 1 1 10 3 1
131 4 2 1 1 8 3 1
131 5 2 1 1 6 3 1
131 6 2 1 1 6 3 1
132 1 1 1 2 61 1 1
132 2 2 1 1 65 2 1
132 3 1 1 2 31 3 1
133 1 1 1 1 27 1 1
133 2 2 1 1 27 2 1
134 1 2 1 1 21 1 2
134 2 2 1 1 25 11 2
134 3 2 1 1 22 11 2
134 4 2 1 1 21 11 2
135 1 1 1 1 59 1 1
135 2 2 1 1 54 2 1
135 3 1 1 1 18 3 1
136 1 2 1 2 38 1 1
136 2 2 1 2 12 3 1
136 3 2 1 2 9 3 1
137 1 2 1 1 45 1 1
137 2 1 1 1 45 2 1
137 3 1 1 1 15 3 1
137 4 1 1 1 15 3 1
138 1 2 1 1 47 1 1
138 2 1 1 1 15 3 1
138 3 2 1 1 11 3 1
138 4 2 1 1 72 5 1
139 1 1 2 1 47 1 1
139 2 1 2 1 10 3 1
140 1 2 1 1 64 1 1
140 2 2 1 1 62 11 1
141 1 1 1 1 58 1 1
141 2 2 1 1 55 2 1
142 1 2 1 1 49 1 1
142 2 1 1 1 52 2 1
142 3 2 1 1 22 3 1
143 1 1 1 1 74 1 1
143 2 2 1 1 69 2 1
144 1 2 1 1 26 1 1
144 2 1 1 1 28 2 1
144 3 2 1 1 1 3 1
145 1 2 1 1 59 1 1
145 2 1 1 1 58 2 1
145 3 2 1 1 25 3 1
145 4 2 1 1 23 3 1
145 5 1 1 1 22 3 1
146 1 1 1 1 49 1 2
146 2 2 1 1 38 2 2
146 3 1 1 1 21 3 2
146 4 2 1 1 18 3 2
146 5 1 1 1 16 3 2
146 6 1 1 1 15 3 2
147 1 1 1 1 69 1 1
147 2 2 1 1 68 2 1
148 1 1 1 1 61 1 1
148 2 2 1 1 60 2 1
149 1 2 8 2 34 1 1
149 2 1 8 2 36 2 1
149 3 1 8 2 9 3 1
149 4 2 8 2 2 3 1
149 5 1 8 2 1 3 1
150 1 1 1 1 34 1 1
150 2 2 1 1 35 2 1
150 3 1 1 1 16 3 1
150 4 2 1 1 13 3 1
151 1 2 1 1 88 1 2
151 2 2 1 1 82 11 2
152 1 1 1 1 64 1 1
152 2 2 6 1 48 2 1
153 1 1 1 1 69 1 1
153 2 2 1 1 65 2 1
154 1 1 1 1 43 1 1
154 2 2 1 1 46 2 1
154 3 2 4 1 4 3 1
155 1 2 1 1 69 1 1
155 2 1 1 1 64 2 1
156 1 2 1 1 51 1 1
156 2 2 1 1 21 3 1
157 1 2 1 1 55 1 1
157 2 1 1 1 56 2 1
157 3 1 1 1 29 3 1
158 1 1 1 1 57 1 2
158 2 2 1 1 48 2 2
158 3 1 1 1 20 3 2
159 1 2 1 1 43 1 1
159 2 1 1 1 50 2 1
159 3 2 1 1 14 3 1
160 1 2 1 1 35 1 1
160 2 2 1 1 29 11 1
161 1 2 1 1 56 1 1
161 2 1 1 2 52 11 1
162 1 2 1 1 75 1 1
162 2 1 1 1 74 2 1
163 1 1 1 5 55 1 2
163 2 1 1 5 26 3 2
163 3 1 1 5 24 3 2
163 4 1 1 5 43 11 2
163 5 1 1 5 24 11 2
163 6 1 1 5 24 11 2
164 1 2 2 1 44 1 2
164 2 2 2 1 23 3 2
164 3 1 2 1 15 3 2
165 1 2 1 1 30 1 2
165 2 1 1 1 34 11 2
166 1 1 1 1 61 1 1
166 2 2 1 1 61 2 1
167 1 1 1 2 36 1 1
167 2 2 1 2 33 2 1
167 3 2 1 2 15 3 1
167 4 2 1 2 14 3 1
167 5 1 1 2 8 3 1
168 1 2 2 1 38 1 2
168 2 2 2 1 16 3 2
168 3 1 2 1 12 3 2
169 1 2 1 3 76 1 2
169 2 1 1 3 51 3 2
169 3 1 2 3 27 3 2
169 4 1 1 1 27 3 2
169 5 2 2 4 76 11 2
169 6 2 1 3 26 12 2
170 1 1 1 1 55 1 1
170 2 2 1 1 53 2 1
170 3 2 1 1 20 3 1
171 1 1 1 1 56 1 1
171 2 2 1 1 53 2 1
172 1 2 1 1 44 1 1
172 2 1 1 1 45 2 1
172 3 1 1 1 12 3 1
172 4 1 1 1 10 3 1
172 5 2 1 1 6 3 1
173 1 1 7 1 71 1 1
173 2 2 8 1 64 2 1
173 3 1 7 1 15 9 1
174 1 1 8 1 50 1 2
174 2 2 8 1 37 2 2
174 3 1 8 1 7 3 2
174 4 1 8 1 7 3 2
175 1 2 1 1 58 1 2
175 2 2 1 1 20 3 2
176 1 1 1 5 54 1 1
176 2 2 1 2 50 2 1
176 3 2 1 2 18 3 1
176 4 1 1 2 16 3 1
177 1 1 1 1 59 1 1
177 2 2 1 1 52 2 1
178 1 1 1 1 38 1 1
178 2 2 1 1 34 2 1
178 3 2 1 1 14 3 1
178 4 2 1 1 12 3 1
178 5 1 1 1 8 3 1
179 1 2 1 1 53 1 1
179 2 2 1 1 86 5 1
180 1 1 3 5 32 1 1
180 2 2 1 1 26 11 1
181 1 1 1 2 33 1 1
181 2 2 1 1 34 2 1
181 3 1 1 2 9 3 1
181 4 2 1 2 7 3 1
181 5 2 1 2 4 3 1
182 1 1 1 1 39 1 2
182 2 1 1 1 3 3 2
182 3 2 1 1 80 10 2
182 4 2 1 1 28 11 2
182 5 2 1 1 12 12 2
183 1 1 3 1 67 1 1
183 2 2 1 1 61 2 1
184 1 2 1 1 60 1 2
184 2 1 1 1 19 9 2
184 3 1 1 1 16 9 2
185 1 2 2 1 94 1 1
185 2 1 2 1 63 3 1
186 1 2 1 1 36 1 1
186 2 1 1 1 39 2 1
186 3 1 1 1 9 3 1
186 4 1 1 1 9 3 1
186 5 2 1 1 6 3 1
187 1 1 1 2 38 1 2
