"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
210 3 1 1 1 20 8 1 2 1 1 86
210 4 1 1 1 20 13 1 2 1 1 86
211 2 2 1 1 81 2 1 1 1 1 82
212 2 2 1 1 29 2 1 1 1 1 31
212 3 2 1 1 4 3 1 1 1 1 31
212 4 2 1 1 1 3 1 1 1 1 31
213 2 2 1 1 81 2 1 1 1 1 85
214 2 2 1 1 24 2 1 1 1 1 38
214 3 2 1 1 10 3 1 1 1 1 38
214 4 1 1 1 9 3 1 1 1 1 38
215 2 2 3 1 42 7 2 1 3 1 20
216 2 1 1 1 31 2 2 2 8 1 72
216 3 2 1 1 38 3 2 2 8 1 72
216 4 2 6 1 63 6 2 2 8 1 72
216 5 2 1 1 79 12 2 2 8 1 72
217 2 2 1 1 58 2 1 1 1 1 58
218 2 2 1 1 70 2 1 1 1 1 72
219 2 2 1 1 31 2 1 1 1 1 31
219 3 1 1 1 3 3 1 1 1 1 31
220 2 1 1 1 46 2 2 2 1 1 47
220 3 2 1 1 28 3 2 2 1 1 47
220 4 1 1 1 18 3 2 2 1 1 47
220 5 1 1 1 13 3 2 2 1 1 47
221 2 2 1 1 45 2 1 1 1 1 45
221 3 2 1 1 22 3 1 1 1 1 45
221 4 1 1 1 17 3 1 1 1 1 45
221 5 1 1 1 14 3 1 1 1 1 45
221 6 2 1 1 18 13 1 1 1 1 45
222 2 1 2 1 22 3 2 2 2 1 46
222 3 1 2 1 21 3 2 2 2 1 46
223 2 2 2 1 63 2 1 1 2 1 67
223 3 1 2 1 15 8 1 1 2 1 67
223 4 1 2 1 11 8 1 1 2 1 67
224 2 2 1 1 59 2 1 1 1 1 55
225 2 2 4 1 13 4 1 2 3 1 49
225 3 2 1 1 51 12 1 2 3 1 49
226 2 1 1 1 48 2 1 2 1 1 49
226 3 2 1 1 21 3 1 2 1 1 49
226 4 1 1 1 17 3 1 2 1 1 49
227 2 1 1 1 63 2 1 2 1 1 61
228 2 1 1 1 79 2 1 2 1 1 77
