Hhindex,pernum,sex,race,sthn,age,relate,ownership,householdsize
92,2,1,8,1,33,2,1,4
92,3,1,2,1,14,3,1,4
92,4,1,2,1,6,3,1,4
93,1,2,1,1,27,1,2,2
93,2,2,1,1,6,3,2,2
94,1,1,1,1,69,1,1,2
94,2,2,1,1,60,2,1,2
95,1,2,1,1,61,1,1,3
95,2,1,1,1,65,2,1,3
95,3,2,1,1,40,3,1,3
96,1,1,1,1,59,1,1,3
96,2,2,1,2,44,2,1,3
96,3,1,1,2,2,3,1,3
97,1,1,1,1,66,1,1,2
97,2,2,1,1,64,2,1,2
98,1,1,1,1,27,1,2,2
98,2,2,1,1,20,11,2,2
99,1,1,1,1,49,1,2,3
99,2,2,1,1,71,11,2,3
99,3,2,1,1,47,11,2,3
100,1,2,1,1,50,1,1,4
100,2,1,1,1,55,2,1,4
100,3,2,1,1,18,3,1,4
100,4,2,1,1,12,3,1,4
101,1,2,1,1,63,1,1,2
101,2,1,1,1,72,2,1,2
102,1,1,2,1,51,1,2,3
102,2,2,2,1,56,2,2,3
102,3,2,2,1,22,3,2,3
103,1,2,1,1,33,1,2,4
103,2,2,1,1,13,3,2,4
103,3,2,1,1,11,3,2,4
103,4,1,1,1,10,3,2,4
104,1,1,1,1,60,1,1,2
104,2,1,1,1,23,3,1,2
105,1,1,1,1,83,1,1,2
105,2,2,1,1,81,2,1,2
106,1,1,1,1,76,1,1,3
106,2,2,1,1,52,2,1,3
106,3,1,1,1,54,3,1,3
107,1,2,6,1,67,1,2,2
107,2,1,6,1,76,2,2,2
108,1,1,1,1,55,1,1,2
108,2,2,1,1,62,2,1,2
109,1,2,6,1,30,1,1,2
109,2,2,6,1,27,10,1,2
110,1,1,1,1,34,1,2,3
110,2,2,1,1,30,2,2,3
110,3,1,1,1,2,3,2,3
111,1,1,1,2,43,1,2,2
111,2,2,1,2,76,5,2,2
112,1,1,1,1,63,1,1,2
112,2,2,1,1,54,2,1,2
113,1,2,1,1,51,1,1,4
113,2,1,1,1,49,2,1,4
113,3,2,1,1,19,3,1,4
113,4,2,1,1,15,3,1,4
114,1,1,1,1,24,1,1,3
114,2,2,1,1,25,2,1,3
114,3,2,1,1,2,3,1,3
115,1,2,1,1,38,1,2,2
115,2,1,8,1,42,2,2,2
116,1,2,2,1,94,1,1,2
116,2,2,2,1,61,3,1,2
117,1,1,1,1,66,1,1,2
117,2,2,1,1,67,2,1,2
118,1,2,7,2,55,1,1,2
118,2,1,7,2,38,3,1,2
119,1,2,1,1,34,1,2,4
119,2,1,1,5,37,2,2,4
119,3,2,1,5,11,3,2,4
119,4,2,1,5,7,3,2,4
120,1,1,1,1,53,1,1,2
120,2,2,1,1,53,11,1,2
121,1,1,1,1,58,1,1,3
121,2,2,1,1,48,2,1,3
121,3,1,1,1,16,3,1,3
122,1,1,1,1,47,1,1,4
122,2,2,1,1,43,2,1,4
122,3,2,1,1,9,3,1,4
122,4,1,1,1,6,3,1,4
123,1,1,8,1,33,1,2,2
123,2,2,1,1,39,11,2,2
124,1,1,1,2,44,1,2,2
124,2,2,1,2,51,11,2,2
125,1,2,1,1,49,1,1,2
125,2,1,1,1,17,3,1,2
126,1,1,1,1,58,1,1,3
126,2,2,1,1,59,2,1,3
126,3,1,1,1,14,3,1,3
127,1,1,3,1,64,1,1,2
127,2,2,3,1,60,2,1,2
128,1,2,1,1,57,1,1,2
128,2,1,1,1,52,2,1,2
129,1,1,1,2,33,1,2,2
129,2,1,1,2,43,11,2,2
130,1,2,1,1,46,1,1,4
130,2,1,1,1,53,2,1,4
130,3,1,1,1,16,3,1,4
130,4,1,1,1,13,3,1,4
131,1,1,1,1,55,1,1,2
131,2,2,1,1,52,2,1,2
132,1,1,1,1,30,1,2,2
132,2,2,1,1,28,11,2,2
133,1,2,1,1,55,1,1,3
133,2,2,1,1,15,3,1,3
133,3,2,1,1,54,11,1,3
134,1,1,1,1,71,1,1,2
134,2,2,1,1,70,2,1,2
135,1,1,1,1,63,1,1,2
135,2,2,1,1,61,2,1,2
136,1,1,1,1,31,1,2,2
136,2,2,7,2,29,2,2,2
137,1,2,1,1,27,1,2,2
137,2,1,6,1,28,2,2,2
138,1,2,1,1,61,1,2,2
138,2,2,1,1,20,9,2,2
139,1,1,4,1,25,1,2,4
139,2,1,4,1,41,11,2,4
139,3,1,4,1,34,11,2,4
139,4,1,4,1,31,11,2,4
140,1,1,1,1,54,1,2,4
140,2,2,2,1,43,2,2,4
140,3,2,2,1,19,3,2,4
140,4,1,2,1,18,3,2,4
141,1,1,3,1,52,1,1,4
141,2,2,3,1,19,3,1,4
141,3,2,3,1,16,3,1,4
141,4,2,3,1,15,3,1,4
142,1,2,1,5,30,1,2,2
142,2,2,1,2,25,11,2,2
143,1,1,1,1,62,1,1,2
143,2,2,1,1,73,2,1,2
144,1,1,1,1,45,1,2,4
144,2,2,1,2,43,2,2,4
144,3,1,1,2,17,3,2,4
144,4,1,1,2,40,8,2,4
145,1,2,1,1,45,1,1,4
145,2,1,2,1,45,2,1,4
145,3,1,7,1,11,3,1,4
145,4,1,7,1,5,3,1,4
146,1,1,1,1,50,1,1,3
146,2,1,1,1,7,3,1,3
146,3,2,1,1,70,5,1,3
147,1,1,1,1,71,1,1,2
147,2,2,1,1,71,2,1,2
148,1,1,1,1,67,1,1,2
148,2,2,1,1,65,2,1,2
149,1,2,1,1,65,1,1,2
149,2,1,1,1,64,2,1,2
150,1,2,1,1,59,1,2,4
150,2,2,1,1,32,3,2,4
150,3,2,1,1,1,9,2,4
150,4,1,1,1,36,11,2,4
151,1,1,1,1,53,1,1,3
151,2,2,1,1,49,2,1,3
151,3,1,1,1,15,3,1,3
152,1,1,1,1,63,1,1,2
152,2,2,1,1,64,2,1,2
153,1,2,4,1,57,1,1,2
153,2,1,4,1,20,3,1,2
154,1,1,1,1,80,1,1,2
154,2,2,1,1,78,2,1,2
155,1,1,3,1,49,1,1,2
155,2,2,1,1,53,2,1,2
156,1,2,1,2,60,1,2,3
156,2,1,1,2,32,3,2,3
156,3,1,1,2,15,9,2,3
157,1,1,1,2,32,1,2,4
157,2,2,1,2,33,2,2,4
157,3,1,1,2,13,3,2,4
157,4,2,1,2,11,3,2,4
158,1,2,1,1,47,1,1,2
158,2,1,9,1,18,3,1,2
159,1,1,7,2,28,1,1,2
159,2,2,7,2,29,7,1,2
160,1,2,1,1,53,1,2,2
160,2,1,2,1,34,3,2,2
161,1,2,1,2,36,1,2,4
161,2,1,1,2,19,3,2,4
161,3,1,1,2,12,3,2,4
161,4,1,1,2,10,3,2,4
162,1,1,1,1,57,1,2,2
162,2,2,1,1,61,12,2,2
163,1,1,1,1,75,1,1,2
163,2,2,1,1,73,2,1,2
164,1,1,1,1,68,1,1,2
164,2,2,1,1,67,2,1,2
165,1,1,1,1,63,1,2,2
165,2,2,1,1,73,2,2,2
166,1,2,1,1,48,1,2,2
166,2,2,1,1,53,11,2,2
167,1,2,1,2,44,1,1,4
167,2,1,1,1,43,2,1,4
167,3,1,1,2,11,3,1,4
167,4,2,1,2,10,3,1,4
168,1,2,1,1,67,1,1,2
168,2,1,1,1,75,2,1,2
169,1,1,1,1,70,1,1,2
169,2,2,1,1,70,2,1,2
170,1,2,1,1,59,1,1,2
170,2,1,1,1,62,2,1,2
171,1,1,1,1,75,1,1,2
171,2,2,1,1,62,2,1,2
172,1,1,6,1,36,1,1,4
172,2,2,6,1,35,2,1,4
172,3,1,6,1,6,3,1,4
172,4,2,6,1,2,3,1,4
173,1,1,1,1,90,1,1,2
173,2,2,1,1,81,2,1,2
174,1,2,1,2,38,1,2,3
174,2,2,1,2,20,3,2,3
174,3,2,1,2,13,3,2,3
175,1,1,1,1,63,1,1,2
175,2,2,1,1,64,2,1,2
176,1,1,1,1,79,1,2,2
176,2,2,1,1,75,2,2,2
177,1,2,1,1,79,1,1,2
177,2,1,1,1,82,2,1,2
178,1,1,1,1,67,1,1,3
178,2,2,1,1,68,2,1,3
178,3,2,1,1,94,6,1,3
179,1,1,1,1,54,1,1,2
179,2,1,1,1,51,11,1,2
180,1,2,1,1,77,1,1,4
180,2,1,1,2,55,3,1,4
180,3,2,1,2,51,3,1,4
180,4,1,1,2,17,9,1,4
181,1,1,1,1,62,1,1,3
181,2,2,1,1,66,2,1,3
181,3,1,1,1,22,9,1,3
182,1,1,1,1,81,1,1,2
182,2,2,1,1,82,2,1,2
183,1,2,7,2,38,1,1,3
183,2,1,7,2,66,5,1,3
183,3,2,7,2,59,5,1,3
184,1,1,1,5,55,1,1,3
184,2,2,1,1,53,2,1,3
184,3,2,1,5,85,5,1,3
185,1,1,1,1,55,1,1,2
185,2,1,1,1,11,3,1,2
186,1,2,7,2,28,1,2,4
186,2,2,8,2,8,3,2,4
186,3,1,8,2,4,3,2,4
186,4,1,2,1,31,11,2,4
187,1,1,6,1,64,1,1,2
187,2,2,6,1,58,2,1,2
188,1,1,7,2,31,1,1,2
188,2,1,7,2,8,3,1,2
189,1,1,1,1,29,1,1,4
189,2,2,1,1,26,2,1,4
189,3,2,1,1,2,3,1,4
189,4,2,1,1,1,3,1,4
190,1,2,1,2,50,1,2,3
190,2,2,1,2,18,3,2,3
190,3,2,1,2,48,7,2,3
191,1,2,1,2,42,1,1,4
191,2,1,1,2,46,2,1,4
191,3,2,1,2,20,3,1,4
191,4,1,1,2,15,3,1,4
192,1,1,1,2,49,1,1,3
192,2,2,1,2,56,2,1,3
192,3,2,1,2,22,3,1,3
193,1,2,1,1,59,1,1,4
193,2,1,1,1,26,3,1,4
193,3,2,1,1,25,3,1,4
193,4,1,1,1,31,12,1,4
194,1,2,1,1,49,1,1,3
194,2,1,1,1,53,2,1,3
194,3,1,1,1,18,3,1,3
195,1,1,1,1,64,1,1,3
195,2,2,1,1,63,2,1,3
195,3,2,1,1,11,3,1,3
196,1,1,1,1,79,1,1,2
196,2,2,1,1,79,2,1,2
197,1,1,1,2,47,1,1,2
197,2,2,1,5,55,2,1,2
198,1,1,1,2,85,1,1,2
198,2,2,5,1,77,2,1,2
199,1,1,8,2,34,1,1,3
199,2,2,1,2,59,2,1,3
199,3,1,7,2,48,7,1,3
200,1,1,1,1,66,1,1,2
200,2,2,1,1,67,2,1,2
201,1,1,1,1,71,1,1,2
201,2,2,1,1,65,2,1,2
202,1,2,7,5,42,1,2,4
202,2,1,7,5,19,3,2,4
202,3,1,7,5,18,3,2,4
202,4,1,7,2,31,11,2,4
203,1,2,1,1,63,1,2,3
203,2,1,1,1,71,2,2,3
203,3,1,1,1,20,10,2,3
204,1,2,6,1,62,1,2,2
204,2,1,6,1,24,3,2,2
205,1,1,1,1,94,1,2,2
205,2,2,1,1,83,2,2,2
206,1,1,1,1,70,1,1,2
206,2,2,1,1,70,2,1,2
207,1,1,1,1,59,1,1,2
207,2,2,1,1,55,2,1,2
208,1,1,1,1,49,1,1,3
208,2,1,1,1,14,3,1,3
208,3,2,1,1,71,5,1,3
209,1,2,1,1,22,1,2,2
209,2,2,1,1,22,11,2,2
210,1,1,1,1,68,1,1,2
210,2,2,1,1,61,2,1,2
211,1,2,1,1,48,1,1,2
211,2,1,1,1,50,2,1,2
212,1,2,1,1,44,1,2,2
212,2,1,1,1,3,3,2,2
213,1,2,1,1,71,1,2,2
213,2,2,1,1,77,7,2,2
214,1,1,7,2,55,1,1,2
214,2,2,7,2,58,2,1,2
215,1,2,1,1,28,1,2,2
215,2,1,1,1,2,3,2,2
216,1,1,1,1,68,1,2,2
216,2,2,1,1,73,2,2,2
217,1,1,1,1,29,1,1,2
217,2,2,1,1,26,2,1,2
218,1,1,1,1,31,1,1,3
218,2,2,1,1,30,2,1,3
